Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,61.592,55.973
11:00:00.100,100,60.976,55.787
11:00:00.200,200,61.298,55.684
11:00:00.300,300,61.514,55.909
11:00:00.400,400,61.597,55.945
11:00:00.500,500,61.743,55.983
11:00:00.600,600,61.593,55.478
11:00:00.700,700,61.724,55.809
11:00:00.800,800,61.286,55.468
11:00:00.900,900,61.417,55.956
11:00:01.000,1000,61.372,55.566
11:00:01.100,1100,61.53,55.763
11:00:01.200,1200,61.127,55.41
11:00:01.300,1300,61.479,55.645
11:00:01.400,1400,61.452,55.641
11:00:01.500,1500,61.231,55.706
11:00:01.600,1600,61.251,55.948
11:00:01.700,1700,61.185,55.798
11:00:01.800,1800,61.569,55.917
11:00:01.900,1900,61.372,56.024
11:00:02.000,2000,61.311,49.95
11:00:02.100,2100,61.415,44.671
11:00:02.200,2200,61.787,40.291
11:00:02.300,2300,61.733,36.685
11:00:02.400,2400,61.203,33.7
11:00:02.500,2500,61.561,31.164
11:00:02.600,2600,61.254,28.794
11:00:02.700,2700,61.484,27.206
11:00:02.800,2800,61.523,25.448
11:00:02.900,2900,61.643,24.115
11:00:03.000,3000,61.351,23.093
11:00:03.100,3100,61.469,21.867
11:00:03.200,3200,61.094,21.27
11:00:03.300,3300,61.68,20.476
11:00:03.400,3400,61.718,20.091
11:00:03.500,3500,61.308,19.364
11:00:03.600,3600,61.541,19.023
11:00:03.700,3700,61.337,18.609
11:00:03.800,3800,61.499,18.501
11:00:03.900,3900,61.567,18.307
11:00:04.000,4000,61.42,18.224
11:00:04.100,4100,61.351,17.514
11:00:04.200,4200,61.519,17.275
11:00:04.300,4300,61.574,17.369
11:00:04.400,4400,61.507,17.434
11:00:04.500,4500,61.549,17.156
11:00:04.600,4600,61.472,17.503
11:00:04.700,4700,61.517,17.461
11:00:04.800,4800,61.682,17.02
11:00:04.900,4900,61.39,16.813
11:00:05.000,5000,61.661,17.062
11:00:05.100,5100,61.567,16.912
11:00:05.200,5200,61.511,16.919
11:00:05.300,5300,61.251,16.592
11:00:05.400,5400,61.24,16.802
11:00:05.500,5500,61.609,16.925
11:00:05.600,5600,61.465,16.863
11:00:05.700,5700,61.238,16.597
11:00:05.800,5800,61.482,17.133
11:00:05.900,5900,61.265,16.844
11:00:06.000,6000,61.517,16.647
11:00:06.100,6100,61.148,16.817
11:00:06.200,6200,61.671,16.674
11:00:06.300,6300,61.264,16.894
11:00:06.400,6400,61.452,16.623
11:00:06.500,6500,61.685,16.63
11:00:06.600,6600,61.5,16.997
11:00:06.700,6700,61.888,16.685
11:00:06.800,6800,61.325,16.975
11:00:06.900,6900,61.94,16.505
11:00:07.000,7000,61.339,16.716
11:00:07.100,7100,61.575,17.044
11:00:07.200,7200,61.665,16.804
11:00:07.300,7300,61.434,16.674
11:00:07.400,7400,61.231,16.86
11:00:07.500,7500,61.255,16.613
11:00:07.600,7600,61.482,16.817
11:00:07.700,7700,61.537,16.842
11:00:07.800,7800,61.68,16.569
11:00:07.900,7900,61.79,16.798
11:00:08.000,8000,61.522,16.307
11:00:08.100,8100,61.401,16.612
11:00:08.200,8200,61.508,16.784
11:00:08.300,8300,61.409,16.827
11:00:08.400,8400,61.574,16.63
11:00:08.500,8500,61.47,16.574
11:00:08.600,8600,61.666,16.5
11:00:08.700,8700,61.323,16.473
11:00:08.800,8800,61.561,16.636
11:00:08.900,8900,61.286,16.747
11:00:09.000,9000,61.298,17.179
11:00:09.100,9100,61.632,16.618
11:00:09.200,9200,61.685,16.715
11:00:09.300,9300,61.546,16.923
11:00:09.400,9400,61.522,16.856
11:00:09.500,9500,61.242,17.101
11:00:09.600,9600,54.778,16.743
11:00:09.700,9700,49.315,16.825
11:00:09.800,9800,44.553,16.698
11:00:09.900,9900,40.718,17.155
11:00:10.000,10000,37.111,16.392
11:00:10.100,10100,34.245,16.765
11:00:10.200,10200,31.773,16.797
11:00:10.300,10300,29.94,16.715
11:00:10.400,10400,28.055,16.8
11:00:10.500,10500,26.408,16.669
11:00:10.600,10600,25.315,16.88
11:00:10.700,10700,23.952,16.708
11:00:10.800,10800,23.404,16.601
11:00:10.900,10900,22.611,16.781
11:00:11.000,11000,21.846,16.853
11:00:11.100,11100,21.439,16.8
11:00:11.200,11200,20.857,16.799
11:00:11.300,11300,20.581,16.56
11:00:11.400,11400,20.121,16.741
11:00:11.500,11500,20.286,16.797
11:00:11.600,11600,19.673,16.53
11:00:11.700,11700,19.731,16.484
11:00:11.800,11800,19.545,16.874
11:00:11.900,11900,18.929,16.52
11:00:12.000,12000,19.155,16.399
