Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,59.526,54.816
11:00:00.100,100,59.454,54.646
11:00:00.200,200,59.44,54.71
11:00:00.300,300,59.632,54.666
11:00:00.400,400,59.547,54.964
11:00:00.500,500,59.562,54.954
11:00:00.600,600,59.492,54.862
11:00:00.700,700,59.514,54.872
11:00:00.800,800,59.53,54.7
11:00:00.900,900,59.544,54.816
11:00:01.000,1000,59.533,54.912
11:00:01.100,1100,59.628,54.776
11:00:01.200,1200,59.422,54.788
11:00:01.300,1300,59.454,54.668
11:00:01.400,1400,59.366,54.755
11:00:01.500,1500,59.227,54.837
11:00:01.600,1600,59.317,54.761
11:00:01.700,1700,59.514,54.795
11:00:01.800,1800,59.599,54.811
11:00:01.900,1900,53.068,54.594
11:00:02.000,2000,47.854,54.859
11:00:02.100,2100,43.198,54.728
11:00:02.200,2200,39.05,54.673
11:00:02.300,2300,35.734,54.531
11:00:02.400,2400,32.878,54.789
11:00:02.500,2500,30.901,54.674
11:00:02.600,2600,28.848,54.79
11:00:02.700,2700,27.064,54.696
11:00:02.800,2800,25.833,54.685
11:00:02.900,2900,24.412,54.828
11:00:03.000,3000,23.531,54.894
11:00:03.100,3100,22.674,48.865
11:00:03.200,3200,22.151,43.707
11:00:03.300,3300,21.292,39.847
11:00:03.400,3400,20.623,36.197
11:00:03.500,3500,20.186,33.29
11:00:03.600,3600,19.862,30.623
11:00:03.700,3700,19.665,28.552
11:00:03.800,3800,19.081,26.422
11:00:03.900,3900,19.002,24.922
11:00:04.000,4000,18.867,23.755
11:00:04.100,4100,18.876,22.507
11:00:04.200,4200,18.67,21.65
11:00:04.300,4300,18.475,20.793
11:00:04.400,4400,18.449,20.003
11:00:04.500,4500,18.302,19.418
11:00:04.600,4600,18.31,19.029
11:00:04.700,4700,18.229,18.791
11:00:04.800,4800,18.105,18.32
11:00:04.900,4900,18.047,18.125
11:00:05.000,5000,17.861,17.767
11:00:05.100,5100,18.067,17.559
11:00:05.200,5200,18.116,17.422
11:00:05.300,5300,18.007,17.344
11:00:05.400,5400,17.869,17.059
11:00:05.500,5500,18.129,17.082
11:00:05.600,5600,17.907,16.838
11:00:05.700,5700,18.01,16.735
11:00:05.800,5800,18.124,16.717
11:00:05.900,5900,18.004,16.757
11:00:06.000,6000,17.826,17.014
11:00:06.100,6100,17.788,16.552
11:00:06.200,6200,17.92,16.645
11:00:06.300,6300,17.843,16.653
11:00:06.400,6400,17.811,16.538
11:00:06.500,6500,17.922,16.453
11:00:06.600,6600,17.964,16.601
11:00:06.700,6700,17.697,16.659
11:00:06.800,6800,17.806,16.535
11:00:06.900,6900,17.959,16.537
11:00:07.000,7000,17.782,16.373
11:00:07.100,7100,17.825,16.194
11:00:07.200,7200,17.58,16.526
11:00:07.300,7300,17.769,16.592
11:00:07.400,7400,17.869,16.428
11:00:07.500,7500,17.93,16.239
11:00:07.600,7600,17.929,16.509
11:00:07.700,7700,18.025,16.3
11:00:07.800,7800,17.956,16.426
11:00:07.900,7900,18.028,16.474
11:00:08.000,8000,17.746,16.444
11:00:08.100,8100,17.887,16.185
11:00:08.200,8200,17.855,16.409
11:00:08.300,8300,17.752,16.301
11:00:08.400,8400,17.85,16.541
11:00:08.500,8500,17.77,16.334
11:00:08.600,8600,17.703,16.391
11:00:08.700,8700,17.672,16.583
11:00:08.800,8800,17.988,16.23
11:00:08.900,8900,17.798,16.604
11:00:09.000,9000,18.027,16.464
11:00:09.100,9100,17.586,16.484
11:00:09.200,9200,18.059,16.471
11:00:09.300,9300,17.845,16.431
11:00:09.400,9400,17.831,16.602
11:00:09.500,9500,18.038,16.513
11:00:09.600,9600,17.804,16.495
11:00:09.700,9700,17.762,16.544
11:00:09.800,9800,17.863,16.498
11:00:09.900,9900,17.932,16.407
11:00:10.000,10000,17.89,16.397
11:00:10.100,10100,17.671,16.364
11:00:10.200,10200,17.912,16.256
11:00:10.300,10300,18.046,16.404
11:00:10.400,10400,17.828,16.336
11:00:10.500,10500,17.848,16.605
11:00:10.600,10600,17.852,16.456
11:00:10.700,10700,17.723,16.444
11:00:10.800,10800,17.851,16.429
11:00:10.900,10900,17.698,16.232
11:00:11.000,11000,17.815,16.491
11:00:11.100,11100,17.875,16.467
11:00:11.200,11200,17.885,16.441
11:00:11.300,11300,17.997,16.439
11:00:11.400,11400,17.728,16.356
11:00:11.500,11500,17.973,16.444
11:00:11.600,11600,17.854,16.191
11:00:11.700,11700,17.99,16.377
11:00:11.800,11800,17.722,16.344
11:00:11.900,11900,17.93,16.485
11:00:12.000,12000,18.057,16.614
